Start,Finish,Steps (count)
01-Jan-2016 00:00,02-Jan-2016 00:00,504.0
02-Jan-2016 00:00,03-Jan-2016 00:00,95.0
03-Jan-2016 00:00,04-Jan-2016 00:00,1785.0
04-Jan-2016 00:00,05-Jan-2016 00:00,6846.0
05-Jan-2016 00:00,06-Jan-2016 00:00,4641.0
06-Jan-2016 00:00,07-Jan-2016 00:00,5374.0
07-Jan-2016 00:00,08-Jan-2016 00:00,5382.0
08-Jan-2016 00:00,09-Jan-2016 00:00,9267.80278132819
09-Jan-2016 00:00,10-Jan-2016 00:00,236.197218671807
10-Jan-2016 00:00,11-Jan-2016 00:00,122.0
11-Jan-2016 00:00,12-Jan-2016 00:00,7171.0
12-Jan-2016 00:00,13-Jan-2016 00:00,6957.0
13-Jan-2016 00:00,14-Jan-2016 00:00,8609.0
14-Jan-2016 00:00,15-Jan-2016 00:00,6799.0
15-Jan-2016 00:00,16-Jan-2016 00:00,6195.0
16-Jan-2016 00:00,17-Jan-2016 00:00,4386.0
17-Jan-2016 00:00,18-Jan-2016 00:00,1721.0
18-Jan-2016 00:00,19-Jan-2016 00:00,9572.0
19-Jan-2016 00:00,20-Jan-2016 00:00,7908.0
20-Jan-2016 00:00,21-Jan-2016 00:00,7307.0
21-Jan-2016 00:00,22-Jan-2016 00:00,6433.0
22-Jan-2016 00:00,23-Jan-2016 00:00,7097.0
23-Jan-2016 00:00,24-Jan-2016 00:00,5271.0
24-Jan-2016 00:00,25-Jan-2016 00:00,252.0
25-Jan-2016 00:00,26-Jan-2016 00:00,10238.0
26-Jan-2016 00:00,27-Jan-2016 00:00,6620.0
27-Jan-2016 00:00,28-Jan-2016 00:00,8314.0
28-Jan-2016 00:00,29-Jan-2016 00:00,5266.0
29-Jan-2016 00:00,30-Jan-2016 00:00,7346.0
30-Jan-2016 00:00,31-Jan-2016 00:00,4037.0
31-Jan-2016 00:00,01-Feb-2016 00:00,816.0
01-Feb-2016 00:00,02-Feb-2016 00:00,7792.0
02-Feb-2016 00:00,03-Feb-2016 00:00,7649.0
03-Feb-2016 00:00,04-Feb-2016 00:00,8515.0
04-Feb-2016 00:00,05-Feb-2016 00:00,7076.0
05-Feb-2016 00:00,06-Feb-2016 00:00,7066.0
06-Feb-2016 00:00,07-Feb-2016 00:00,10542.0
07-Feb-2016 00:00,08-Feb-2016 00:00,2465.0
08-Feb-2016 00:00,09-Feb-2016 00:00,8643.0
09-Feb-2016 00:00,10-Feb-2016 00:00,7723.0
10-Feb-2016 00:00,11-Feb-2016 00:00,7267.0
11-Feb-2016 00:00,12-Feb-2016 00:00,11177.0
12-Feb-2016 00:00,13-Feb-2016 00:00,14526.0
13-Feb-2016 00:00,14-Feb-2016 00:00,3832.0
14-Feb-2016 00:00,15-Feb-2016 00:00,7060.0
15-Feb-2016 00:00,16-Feb-2016 00:00,9408.0
16-Feb-2016 00:00,17-Feb-2016 00:00,11597.0
17-Feb-2016 00:00,18-Feb-2016 00:00,8121.0
18-Feb-2016 00:00,19-Feb-2016 00:00,7977.0
19-Feb-2016 00:00,20-Feb-2016 00:00,7352.0
20-Feb-2016 00:00,21-Feb-2016 00:00,3335.0
21-Feb-2016 00:00,22-Feb-2016 00:00,2844.0
22-Feb-2016 00:00,23-Feb-2016 00:00,9450.0
23-Feb-2016 00:00,24-Feb-2016 00:00,6901.0
24-Feb-2016 00:00,25-Feb-2016 00:00,6714.0
25-Feb-2016 00:00,26-Feb-2016 00:00,7086.0
26-Feb-2016 00:00,27-Feb-2016 00:00,8852.0
27-Feb-2016 00:00,28-Feb-2016 00:00,3833.0
28-Feb-2016 00:00,29-Feb-2016 00:00,3275.0
29-Feb-2016 00:00,01-Mar-2016 00:00,6939.0
01-Mar-2016 00:00,02-Mar-2016 00:00,7394.0
02-Mar-2016 00:00,03-Mar-2016 00:00,5203.0
03-Mar-2016 00:00,04-Mar-2016 00:00,9692.0
04-Mar-2016 00:00,05-Mar-2016 00:00,9463.0
05-Mar-2016 00:00,06-Mar-2016 00:00,9813.0
06-Mar-2016 00:00,07-Mar-2016 00:00,5567.0
07-Mar-2016 00:00,08-Mar-2016 00:00,7243.0
08-Mar-2016 00:00,09-Mar-2016 00:00,8980.0
09-Mar-2016 00:00,10-Mar-2016 00:00,10101.0
10-Mar-2016 00:00,11-Mar-2016 00:00,6875.0
11-Mar-2016 00:00,12-Mar-2016 00:00,7407.0
12-Mar-2016 00:00,13-Mar-2016 00:00,2910.0
13-Mar-2016 00:00,14-Mar-2016 00:00,1203.0
14-Mar-2016 00:00,15-Mar-2016 00:00,5100.0
15-Mar-2016 00:00,16-Mar-2016 00:00,219.0
16-Mar-2016 00:00,17-Mar-2016 00:00,5785.0
17-Mar-2016 00:00,18-Mar-2016 00:00,6746.0
18-Mar-2016 00:00,19-Mar-2016 00:00,7819.0
19-Mar-2016 00:00,20-Mar-2016 00:00,3947.0
20-Mar-2016 00:00,21-Mar-2016 00:00,4953.0
21-Mar-2016 00:00,22-Mar-2016 00:00,6364.0
22-Mar-2016 00:00,23-Mar-2016 00:00,8031.0
23-Mar-2016 00:00,24-Mar-2016 00:00,6357.0
24-Mar-2016 00:00,25-Mar-2016 00:00,10596.0
25-Mar-2016 00:00,26-Mar-2016 00:00,10027.0
26-Mar-2016 00:00,27-Mar-2016 00:00,4399.0
27-Mar-2016 00:00,28-Mar-2016 00:00,1211.0
28-Mar-2016 00:00,29-Mar-2016 00:00,8166.0
29-Mar-2016 00:00,30-Mar-2016 00:00,10209.0
30-Mar-2016 00:00,31-Mar-2016 00:00,14310.0
31-Mar-2016 00:00,01-Apr-2016 00:00,7588.0
01-Apr-2016 00:00,02-Apr-2016 00:00,9321.0
02-Apr-2016 00:00,03-Apr-2016 00:00,6489.0
03-Apr-2016 00:00,04-Apr-2016 00:00,7971.0
04-Apr-2016 00:00,05-Apr-2016 00:00,11552.0
05-Apr-2016 00:00,06-Apr-2016 00:00,7247.0
06-Apr-2016 00:00,07-Apr-2016 00:00,10894.0
07-Apr-2016 00:00,08-Apr-2016 00:00,13880.0
08-Apr-2016 00:00,09-Apr-2016 00:00,9357.0
09-Apr-2016 00:00,10-Apr-2016 00:00,4225.21718223111
10-Apr-2016 00:00,11-Apr-2016 00:00,594.782817768891
11-Apr-2016 00:00,12-Apr-2016 00:00,8508.0
12-Apr-2016 00:00,13-Apr-2016 00:00,12249.0
13-Apr-2016 00:00,14-Apr-2016 00:00,8667.0
14-Apr-2016 00:00,15-Apr-2016 00:00,13004.0
15-Apr-2016 00:00,16-Apr-2016 00:00,6576.0
16-Apr-2016 00:00,17-Apr-2016 00:00,15387.0
17-Apr-2016 00:00,18-Apr-2016 00:00,4080.0
18-Apr-2016 00:00,19-Apr-2016 00:00,9698.0
19-Apr-2016 00:00,20-Apr-2016 00:00,10189.4651187471
